"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 15:12:03 GMT 2021","Tue Aug 10 15:12:06 GMT 2021","3412","test","test_conduit","TestConduit","","","test_editing_user_picture",""
"passed","Tue Aug 10 15:11:29 GMT 2021","Tue Aug 10 15:11:31 GMT 2021","2237","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 15:11:59 GMT 2021","Tue Aug 10 15:12:01 GMT 2021","1493","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 15:11:21 GMT 2021","Tue Aug 10 15:11:23 GMT 2021","2054","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 15:11:24 GMT 2021","Tue Aug 10 15:11:25 GMT 2021","795","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 15:11:26 GMT 2021","Tue Aug 10 15:11:27 GMT 2021","920","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 15:11:57 GMT 2021","Tue Aug 10 15:11:58 GMT 2021","1408","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 15:11:16 GMT 2021","Tue Aug 10 15:11:19 GMT 2021","3198","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 15:11:54 GMT 2021","Tue Aug 10 15:11:56 GMT 2021","2655","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 15:11:33 GMT 2021","Tue Aug 10 15:11:47 GMT 2021","13892","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Tue Aug 10 15:11:48 GMT 2021","Tue Aug 10 15:11:52 GMT 2021","3656","test","test_conduit","TestConduit","","","test_delete_comment",""
