"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:57:36 GMT 2021","Tue Aug 10 09:57:37 GMT 2021","908","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 09:56:53 GMT 2021","Tue Aug 10 09:56:53 GMT 2021","915","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 09:56:42 GMT 2021","Tue Aug 10 09:56:44 GMT 2021","2360","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 09:56:55 GMT 2021","Tue Aug 10 09:56:57 GMT 2021","2157","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 09:56:46 GMT 2021","Tue Aug 10 09:56:48 GMT 2021","2051","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 09:57:33 GMT 2021","Tue Aug 10 09:57:34 GMT 2021","839","test","test_conduit","TestConduit","","","test_article_list",""
"broken","Tue Aug 10 09:57:19 GMT 2021","Tue Aug 10 09:57:27 GMT 2021","8121","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 09:56:58 GMT 2021","Tue Aug 10 09:57:12 GMT 2021","13811","test","test_conduit","TestConduit","","","test_creating_comment",""
"failed","Tue Aug 10 09:57:14 GMT 2021","Tue Aug 10 09:57:17 GMT 2021","3636","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Aug 10 09:57:29 GMT 2021","Tue Aug 10 09:57:32 GMT 2021","2502","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 09:56:50 GMT 2021","Tue Aug 10 09:56:51 GMT 2021","804","test","test_conduit","TestConduit","","","test_sign_in",""
