"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:03:17 GMT 2021","Tue Aug 10 09:03:19 GMT 2021","2060","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 09:03:30 GMT 2021","Tue Aug 10 09:03:32 GMT 2021","1986","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Tue Aug 10 09:03:12 GMT 2021","Tue Aug 10 09:03:15 GMT 2021","2636","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 09:03:33 GMT 2021","Tue Aug 10 09:03:37 GMT 2021","3833","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Aug 10 09:03:25 GMT 2021","Tue Aug 10 09:03:28 GMT 2021","2480","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 09:03:39 GMT 2021","Tue Aug 10 09:03:47 GMT 2021","8229","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 09:03:56 GMT 2021","Tue Aug 10 09:03:57 GMT 2021","1501","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 09:03:49 GMT 2021","Tue Aug 10 09:03:51 GMT 2021","2620","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 09:03:53 GMT 2021","Tue Aug 10 09:03:54 GMT 2021","1460","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 09:03:20 GMT 2021","Tue Aug 10 09:03:21 GMT 2021","824","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 09:03:23 GMT 2021","Tue Aug 10 09:03:24 GMT 2021","947","test","test_conduit","TestConduit","","","test_sign_out",""
