"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 17:18:14 GMT 2021","Thu Aug 12 17:18:16 GMT 2021","2947","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 17:18:22 GMT 2021","Thu Aug 12 17:18:23 GMT 2021","829","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Aug 12 17:18:18 GMT 2021","Thu Aug 12 17:18:20 GMT 2021","2054","test","test_conduit","TestConduit","","","test_accept_cookies",""
"failed","Thu Aug 12 17:18:59 GMT 2021","Thu Aug 12 17:19:01 GMT 2021","1940","test","test_conduit","TestConduit","","","test_editing_user_img",""
"passed","Thu Aug 12 17:18:30 GMT 2021","Thu Aug 12 17:18:43 GMT 2021","13741","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Thu Aug 12 17:18:45 GMT 2021","Thu Aug 12 17:18:49 GMT 2021","3613","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Aug 12 17:18:56 GMT 2021","Thu Aug 12 17:18:57 GMT 2021","1016","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Thu Aug 12 17:18:26 GMT 2021","Thu Aug 12 17:18:28 GMT 2021","2164","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Thu Aug 12 17:18:50 GMT 2021","Thu Aug 12 17:18:53 GMT 2021","2663","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Thu Aug 12 17:18:24 GMT 2021","Thu Aug 12 17:18:25 GMT 2021","884","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Aug 12 17:18:54 GMT 2021","Thu Aug 12 17:18:55 GMT 2021","906","test","test_conduit","TestConduit","","","test_article_list",""
