"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 18:59:06 GMT 2021","Sun Aug 08 18:59:08 GMT 2021","2065","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 18:59:14 GMT 2021","Sun Aug 08 18:59:17 GMT 2021","2592","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Sun Aug 08 18:59:02 GMT 2021","Sun Aug 08 18:59:05 GMT 2021","2974","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 18:59:45 GMT 2021","Sun Aug 08 18:59:46 GMT 2021","1498","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Sun Aug 08 18:59:18 GMT 2021","Sun Aug 08 18:59:20 GMT 2021","1953","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Sun Aug 08 18:59:42 GMT 2021","Sun Aug 08 18:59:43 GMT 2021","1423","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Sun Aug 08 18:59:22 GMT 2021","Sun Aug 08 18:59:26 GMT 2021","4098","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Aug 08 18:59:10 GMT 2021","Sun Aug 08 18:59:11 GMT 2021","822","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sun Aug 08 18:59:12 GMT 2021","Sun Aug 08 18:59:13 GMT 2021","988","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Sun Aug 08 18:59:38 GMT 2021","Sun Aug 08 18:59:40 GMT 2021","2633","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Sun Aug 08 18:59:28 GMT 2021","Sun Aug 08 18:59:36 GMT 2021","8234","test","test_conduit","TestConduit","","","test_edit_article",""
