"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 09:32:27 GMT 2021","Tue Aug 10 09:32:29 GMT 2021","2169","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 09:32:50 GMT 2021","Tue Aug 10 09:32:53 GMT 2021","2620","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"broken","Tue Aug 10 09:32:31 GMT 2021","Tue Aug 10 09:32:33 GMT 2021","1962","test","test_conduit","TestConduit","","","test_creating_comment",""
"failed","Tue Aug 10 09:32:34 GMT 2021","Tue Aug 10 09:32:38 GMT 2021","4084","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Aug 10 09:32:58 GMT 2021","Tue Aug 10 09:32:59 GMT 2021","1499","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 09:32:24 GMT 2021","Tue Aug 10 09:32:25 GMT 2021","956","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 09:32:14 GMT 2021","Tue Aug 10 09:32:16 GMT 2021","2588","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 09:32:18 GMT 2021","Tue Aug 10 09:32:20 GMT 2021","2056","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 09:32:54 GMT 2021","Tue Aug 10 09:32:56 GMT 2021","1431","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 09:32:22 GMT 2021","Tue Aug 10 09:32:23 GMT 2021","816","test","test_conduit","TestConduit","","","test_sign_in",""
"broken","Tue Aug 10 09:32:40 GMT 2021","Tue Aug 10 09:32:48 GMT 2021","8197","test","test_conduit","TestConduit","","","test_edit_article",""
