"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 14:48:01 GMT 2021","Tue Aug 10 14:48:03 GMT 2021","2664","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 14:47:48 GMT 2021","Tue Aug 10 14:47:51 GMT 2021","3135","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Aug 10 14:47:29 GMT 2021","Tue Aug 10 14:47:32 GMT 2021","2281","test","test_conduit","TestConduit","","","test_new_article",""
"failed","Tue Aug 10 14:47:52 GMT 2021","Tue Aug 10 14:47:59 GMT 2021","6810","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 14:47:27 GMT 2021","Tue Aug 10 14:47:28 GMT 2021","945","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 14:47:25 GMT 2021","Tue Aug 10 14:47:25 GMT 2021","781","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 14:48:05 GMT 2021","Tue Aug 10 14:48:06 GMT 2021","864","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 14:47:16 GMT 2021","Tue Aug 10 14:47:20 GMT 2021","3969","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 14:47:33 GMT 2021","Tue Aug 10 14:47:47 GMT 2021","13696","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Tue Aug 10 14:47:21 GMT 2021","Tue Aug 10 14:47:23 GMT 2021","2053","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 14:48:08 GMT 2021","Tue Aug 10 14:48:09 GMT 2021","992","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 14:48:10 GMT 2021","Tue Aug 10 14:48:13 GMT 2021","3033","test","test_conduit","TestConduit","","","test_editing_user_picture",""
