"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 14:03:34 GMT 2021","Thu Aug 12 14:03:48 GMT 2021","13688","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Thu Aug 12 14:03:28 GMT 2021","Thu Aug 12 14:03:29 GMT 2021","849","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Aug 12 14:04:00 GMT 2021","Thu Aug 12 14:04:01 GMT 2021","975","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Thu Aug 12 14:03:58 GMT 2021","Thu Aug 12 14:03:59 GMT 2021","906","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Thu Aug 12 14:03:53 GMT 2021","Thu Aug 12 14:03:56 GMT 2021","2678","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Thu Aug 12 14:04:03 GMT 2021","Thu Aug 12 14:04:06 GMT 2021","3125","test","test_conduit","TestConduit","","","test_editing_user_img",""
"passed","Thu Aug 12 14:03:25 GMT 2021","Thu Aug 12 14:03:26 GMT 2021","796","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Aug 12 14:03:17 GMT 2021","Thu Aug 12 14:03:20 GMT 2021","3246","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 14:03:22 GMT 2021","Thu Aug 12 14:03:24 GMT 2021","2052","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Aug 12 14:03:30 GMT 2021","Thu Aug 12 14:03:33 GMT 2021","2204","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Thu Aug 12 14:03:49 GMT 2021","Thu Aug 12 14:03:52 GMT 2021","3190","test","test_conduit","TestConduit","","","test_delete_comment",""
