"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 17:10:07 GMT 2021","Thu Aug 12 17:10:08 GMT 2021","1443","test","test_conduit","TestConduit","","","test_article_list",""
"failed","Thu Aug 12 17:10:13 GMT 2021","Thu Aug 12 17:10:17 GMT 2021","3844","test","test_conduit","TestConduit","","","test_editing_user_img",""
"passed","Thu Aug 12 17:09:23 GMT 2021","Thu Aug 12 17:09:26 GMT 2021","3268","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 17:09:37 GMT 2021","Thu Aug 12 17:09:40 GMT 2021","2563","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Thu Aug 12 17:09:28 GMT 2021","Thu Aug 12 17:09:30 GMT 2021","2068","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Aug 12 17:09:34 GMT 2021","Thu Aug 12 17:09:35 GMT 2021","986","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Aug 12 17:09:57 GMT 2021","Thu Aug 12 17:10:01 GMT 2021","3802","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Aug 12 17:10:02 GMT 2021","Thu Aug 12 17:10:05 GMT 2021","2800","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Thu Aug 12 17:09:41 GMT 2021","Thu Aug 12 17:09:55 GMT 2021","13936","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Thu Aug 12 17:09:32 GMT 2021","Thu Aug 12 17:09:33 GMT 2021","857","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Thu Aug 12 17:10:10 GMT 2021","Thu Aug 12 17:10:12 GMT 2021","1579","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
