"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 12 16:54:24 GMT 2021","Thu Aug 12 16:54:25 GMT 2021","871","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Thu Aug 12 16:54:53 GMT 2021","Thu Aug 12 16:54:54 GMT 2021","872","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Thu Aug 12 16:54:15 GMT 2021","Thu Aug 12 16:54:17 GMT 2021","2400","test","test_conduit","TestConduit","","","test_registration",""
"passed","Thu Aug 12 16:54:26 GMT 2021","Thu Aug 12 16:54:27 GMT 2021","1454","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Thu Aug 12 16:54:56 GMT 2021","Thu Aug 12 16:54:57 GMT 2021","949","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Thu Aug 12 16:54:49 GMT 2021","Thu Aug 12 16:54:52 GMT 2021","2642","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Thu Aug 12 16:54:19 GMT 2021","Thu Aug 12 16:54:21 GMT 2021","2053","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Thu Aug 12 16:54:44 GMT 2021","Thu Aug 12 16:54:47 GMT 2021","3553","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Thu Aug 12 16:54:29 GMT 2021","Thu Aug 12 16:54:42 GMT 2021","13646","test","test_conduit","TestConduit","","","test_creating_comment",""
"failed","Thu Aug 12 16:54:58 GMT 2021","Thu Aug 12 16:55:01 GMT 2021","2933","test","test_conduit","TestConduit","","","test_editing_user_img",""
"passed","Thu Aug 12 16:54:22 GMT 2021","Thu Aug 12 16:54:23 GMT 2021","779","test","test_conduit","TestConduit","","","test_sign_in",""
