"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 10:52:45 GMT 2021","Tue Aug 10 10:52:48 GMT 2021","2842","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 10:52:01 GMT 2021","Tue Aug 10 10:52:03 GMT 2021","2073","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 10:52:14 GMT 2021","Tue Aug 10 10:52:29 GMT 2021","14129","test","test_conduit","TestConduit","","","test_creating_comment",""
"failed","Tue Aug 10 10:52:30 GMT 2021","Tue Aug 10 10:52:33 GMT 2021","3025","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Aug 10 10:51:56 GMT 2021","Tue Aug 10 10:51:59 GMT 2021","3171","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 10:52:05 GMT 2021","Tue Aug 10 10:52:05 GMT 2021","898","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 10:52:10 GMT 2021","Tue Aug 10 10:52:13 GMT 2021","2775","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 10:52:07 GMT 2021","Tue Aug 10 10:52:08 GMT 2021","1070","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 10:52:52 GMT 2021","Tue Aug 10 10:52:54 GMT 2021","1669","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"failed","Tue Aug 10 10:52:35 GMT 2021","Tue Aug 10 10:52:43 GMT 2021","7963","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 10:52:49 GMT 2021","Tue Aug 10 10:52:51 GMT 2021","1495","test","test_conduit","TestConduit","","","test_article_list",""
