"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 14:09:48 GMT 2021","Tue Aug 10 14:09:52 GMT 2021","3730","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 14:09:57 GMT 2021","Tue Aug 10 14:09:58 GMT 2021","874","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 14:10:22 GMT 2021","Tue Aug 10 14:10:26 GMT 2021","3825","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Tue Aug 10 14:10:00 GMT 2021","Tue Aug 10 14:10:01 GMT 2021","1044","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 14:10:41 GMT 2021","Tue Aug 10 14:10:43 GMT 2021","1457","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 14:10:06 GMT 2021","Tue Aug 10 14:10:20 GMT 2021","14001","test","test_conduit","TestConduit","","","test_creating_comment",""
"failed","Tue Aug 10 14:10:27 GMT 2021","Tue Aug 10 14:10:35 GMT 2021","8007","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Tue Aug 10 14:09:53 GMT 2021","Tue Aug 10 14:09:55 GMT 2021","2066","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 14:10:02 GMT 2021","Tue Aug 10 14:10:05 GMT 2021","2742","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 14:10:37 GMT 2021","Tue Aug 10 14:10:40 GMT 2021","2985","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 14:10:44 GMT 2021","Tue Aug 10 14:10:46 GMT 2021","1575","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
