"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 11 17:46:01 GMT 2021","Wed Aug 11 17:46:04 GMT 2021","2618","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Wed Aug 11 17:45:32 GMT 2021","Wed Aug 11 17:45:33 GMT 2021","796","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Wed Aug 11 17:45:41 GMT 2021","Wed Aug 11 17:45:54 GMT 2021","13705","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Wed Aug 11 17:46:11 GMT 2021","Wed Aug 11 17:46:14 GMT 2021","2738","test","test_conduit","TestConduit","","","test_editing_user_img",""
"passed","Wed Aug 11 17:45:56 GMT 2021","Wed Aug 11 17:46:00 GMT 2021","3588","test","test_conduit","TestConduit","","","test_delete_comment",""
"passed","Wed Aug 11 17:46:08 GMT 2021","Wed Aug 11 17:46:09 GMT 2021","973","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Wed Aug 11 17:45:37 GMT 2021","Wed Aug 11 17:45:40 GMT 2021","2563","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Wed Aug 11 17:45:35 GMT 2021","Wed Aug 11 17:45:36 GMT 2021","864","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Wed Aug 11 17:45:24 GMT 2021","Wed Aug 11 17:45:27 GMT 2021","2754","test","test_conduit","TestConduit","","","test_registration",""
"passed","Wed Aug 11 17:45:28 GMT 2021","Wed Aug 11 17:45:31 GMT 2021","2053","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Wed Aug 11 17:46:06 GMT 2021","Wed Aug 11 17:46:06 GMT 2021","909","test","test_conduit","TestConduit","","","test_article_list",""
