"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 18:11:24 GMT 2021","Sun Aug 08 18:11:31 GMT 2021","7196","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Sun Aug 08 18:11:14 GMT 2021","Sun Aug 08 18:11:17 GMT 2021","2612","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Sun Aug 08 18:10:58 GMT 2021","Sun Aug 08 18:11:01 GMT 2021","2739","test","test_conduit","TestConduit","","","test_registration",""
"passed","Sun Aug 08 18:11:10 GMT 2021","Sun Aug 08 18:11:11 GMT 2021","1011","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Sun Aug 08 18:11:34 GMT 2021","Sun Aug 08 18:11:42 GMT 2021","8212","test","test_conduit","TestConduit","","","test_edit_article",""
"passed","Sun Aug 08 18:11:07 GMT 2021","Sun Aug 08 18:11:08 GMT 2021","817","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Sun Aug 08 18:11:51 GMT 2021","Sun Aug 08 18:11:52 GMT 2021","1422","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Sun Aug 08 18:11:20 GMT 2021","Sun Aug 08 18:11:22 GMT 2021","1952","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Sun Aug 08 18:11:04 GMT 2021","Sun Aug 08 18:11:04 GMT 2021","59","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Sun Aug 08 18:11:45 GMT 2021","Sun Aug 08 18:11:48 GMT 2021","2542","test","test_conduit","TestConduit","","","test_save_article_to_file",""
