"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 07:50:05 GMT 2021","Tue Aug 10 07:50:07 GMT 2021","1495","test","test_conduit","TestConduit","","","test_listing_article_titles_to_file",""
"passed","Tue Aug 10 07:49:31 GMT 2021","Tue Aug 10 07:49:32 GMT 2021","879","test","test_conduit","TestConduit","","","test_sign_in",""
"passed","Tue Aug 10 07:49:59 GMT 2021","Tue Aug 10 07:50:02 GMT 2021","2585","test","test_conduit","TestConduit","","","test_save_article_to_file",""
"passed","Tue Aug 10 07:49:40 GMT 2021","Tue Aug 10 07:49:42 GMT 2021","2004","test","test_conduit","TestConduit","","","test_creating_comment",""
"passed","Tue Aug 10 07:50:02 GMT 2021","Tue Aug 10 07:50:04 GMT 2021","1431","test","test_conduit","TestConduit","","","test_article_list",""
"passed","Tue Aug 10 07:49:36 GMT 2021","Tue Aug 10 07:49:39 GMT 2021","2668","test","test_conduit","TestConduit","","","test_new_article",""
"passed","Tue Aug 10 07:49:44 GMT 2021","Tue Aug 10 07:49:48 GMT 2021","3736","test","test_conduit","TestConduit","","","test_delete_article",""
"passed","Tue Aug 10 07:49:33 GMT 2021","Tue Aug 10 07:49:34 GMT 2021","971","test","test_conduit","TestConduit","","","test_sign_out",""
"passed","Tue Aug 10 07:49:22 GMT 2021","Tue Aug 10 07:49:25 GMT 2021","2963","test","test_conduit","TestConduit","","","test_registration",""
"passed","Tue Aug 10 07:49:27 GMT 2021","Tue Aug 10 07:49:29 GMT 2021","2063","test","test_conduit","TestConduit","","","test_accept_cookies",""
"passed","Tue Aug 10 07:49:49 GMT 2021","Tue Aug 10 07:49:57 GMT 2021","8138","test","test_conduit","TestConduit","","","test_edit_article",""
